Entity,Year,CO2 emissions per capita,CO2 emissions
Africa,1884,0.00016810493,21984.0
Africa,1885,0.00027865346,36640.0
Africa,1886,0.00036027696,47632.0
Africa,1887,0.00035830968,47632.0
Africa,1888,0.00060305005,80608.0
Africa,1889,0.0009820405,131904.0
Africa,1890,0.0022003131,296784.0
Africa,1891,0.0021923848,296784.0
Africa,1892,0.0035353242,479984.0
Africa,1893,0.013219625,1799024.0
Africa,1894,0.017834708,2432896.0
Africa,1895,0.024409406,3337904.0
Africa,1896,0.031057494,4257568.0
Africa,1897,0.034764815,4777856.0
Africa,1898,0.043902785,6049264.0
Africa,1899,0.039936516,5517984.0
Africa,1900,0.016815761,2330304.0
Africa,1901,0.028121473,3909488.0
Africa,1902,0.04176499,5825760.0
Africa,1903,0.056402333,7895920.0
Africa,1904,0.06341765,8910848.0
Africa,1905,0.07276437,10262864.0
Africa,1906,0.08275714,11717472.0
Africa,1907,0.0909625,12930256.0
Africa,1908,0.09390756,13402912.0
Africa,1909,0.10735923,15385136.0
Africa,1910,0.12100435,17411328.0
Africa,1911,0.116731,16865392.0
Africa,1912,0.123760745,17953600.0
Africa,1913,0.13460414,19606064.0
Africa,1914,0.13367727,19551104.0
Africa,1915,0.13349853,19606064.0
Africa,1916,0.15768538,23255408.0
Africa,1917,0.17112114,25343888.0
Africa,1918,0.16625711,24724672.0
Africa,1919,0.17010342,25442816.0
Africa,1920,0.18615878,28051584.0
Africa,1921,0.18404068,27985632.0
Africa,1922,0.15595937,23969888.0
Africa,1923,0.18666829,29044528.0
Africa,1924,0.19445343,30631040.0
Africa,1925,0.20180704,32184576.0
Africa,1926,0.21327865,34437936.0
Africa,1927,0.2069944,33840704.0
Africa,1928,0.21005066,34770320.0
Africa,1929,0.21359752,35801616.0
Africa,1930,0.19853099,33695670.0
Africa,1931,0.17142504,29463712.0
Africa,1932,0.15295953,26622752.0
Africa,1933,0.16163766,28491132.0
Africa,1934,0.18227975,32539280.0
Africa,1935,0.19862159,35909544.0
Africa,1936,0.21307538,39015950.0
Africa,1937,0.22562651,41844264.0
Africa,1938,0.23430876,44013164.0
Africa,1939,0.24609981,46852930.0
Africa,1940,0.25714242,49649184.0
Africa,1941,0.27570948,54023456.0
Africa,1942,0.2956288,58822884.0
Africa,1943,0.29735428,60119628.0
Africa,1944,0.3243292,66632910.0
Africa,1945,0.32344264,67527180.0
Africa,1946,0.32124582,68159370.0
Africa,1947,0.31506482,67934744.0
Africa,1948,0.32733774,71733140.0
Africa,1949,0.34674028,77323530.0
Africa,1950,0.41649765,94750750.0
Africa,1951,0.43507445,101051990.0
Africa,1952,0.46483028,110273920.0
Africa,1953,0.4620448,111985016.0
Africa,1954,0.47448167,117517816.0
Africa,1955,0.5110498,129395110.0
Africa,1956,0.52177536,135095330.0
Africa,1957,0.53477436,141585740.0
Africa,1958,0.5492976,148670930.0
Africa,1959,0.53397065,147841250.0
Africa,1960,0.5522655,156570800.0
Africa,1961,0.5578653,161994340.0
Africa,1962,0.55908406,166334960.0
Africa,1963,0.5783184,176334930.0
Africa,1964,0.61948013,193639340.0
Africa,1965,0.66652215,213634400.0
Africa,1966,0.67250377,221082160.0
Africa,1967,0.7027146,237045200.0
Africa,1968,0.74299806,257271490.0
Africa,1969,0.7812512,277716580.0
