"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","967924669.426005","1123551773.16707","1333078995.9507","1494779352.50098","1553993567.53506","1677736082.04648","1776426456.79667","1906242252.98798","2062628485.83087","2115166597.09495","2140247999.59914","2291068600.65849","2336706330.90095","2365635733.00384","2545966267.78226","2652438618.61234","2627374307.5502","2656551420.08012","2850313056.72604","2839392433.63397","2871404069.44201","2960117372.63583","3014457880.39871","2662437285.4367","2589660712.61171","2676912524.28603","2649051221.82866","2819423912.92302","2859631679.07374","2962906703.91061","2999478909.44476","3104263601.09893","3203987172.7481","3243239612.14075","2468170539.29889","2831747261.74117","3132944104.21046","3374393790.1973","3604216215.99837",
"Africa Eastern and Southern","AFE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","154315290501.875","154961775061.871","167261150268.755","176667522004.197","184881220873.492","194380728667.302","203764304695.603","214642953837.183","223564232523.934","235014269585.753","237628833457.086","250656273389.189","257583821345.159","269487213011.567","284234593916.791","288141533329.163","294912444536.262","298186794064.615","302602536983.937","311462623894.564","328444141734.343","341347636121.077","342402188713.624","342619976976.937","354288376091.742","353984165996.715","362024037676.872","376282550345.002","392411519510.892","402873388750.894","403362328186.638","402934626530.485","393283199802.763","389983090646.69","397469418157.985","414777691758.035","437586778459.385","454463358329.568","462530865005.973","474714780332.272","489817237961.848","506978146950.777","526837055747.211","542691545186.725","573270574876.558","608662346141.735","649062293464.719","692549683213.31","723281777591.992","729932157169.629","768676258158.214","800018855528.803","815196596607.277","850712124050.048","884063354554.275","910002035578.038","929386143911.422","954270680011.48","980085554466.136","999982044537.274","971806829572.918","1016303649247.24","1054137757186.44","1074494847612.58","1104192151938.79",
"Afghanistan","AFG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6206547590.07403","5621147630.73068","7228795918.92525","7867263256.28817","7978515641.58304","8874480195.58321","9349921885.77888","10642671963.1135","11060395115.6809","13426272073.2398","15354612541.5059","15420077665.5323","17386490239.3536","18360263162.7578","18860496494.0404","19134221644.7325","19566715174.1633","20084646751.4954","20323499020.3639","21118473702.3471","20621957125.2077","16345202562.5485","15325233810.1388","15672648238.1005","",
"Africa Western and Central","AFW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","110363166588.031","112426508801.912","116615621761.965","124823482001.183","131519124470.296","136918430586.072","134846839634.846","122755524003.671","124688068296.76","143412505582.562","168236251634.269","185745228995.769","191628465915.226","199144342140.828","218891305855.715","214483202869.194","232547240006.465","243154338902.099","238497189369.686","250495599528.508","255176124193.249","238230405871.96","230438754884.297","215945102129.301","216989871841.091","228533653028.881","231427441791.138","234691982866.077","245866562367.393","250103888961.509","264111833161.862","267064917640.702","273178484580.84","269557355232.788","268940627706.29","273920431587.626","286580546500.139","299155187893.783","309971435779.051","314676785569.594","326672771738.384","343818790760.609","378005749070.855","399273715782.54","431500987746.921","456516971510.488","480653804630.281","506837566927.576","538316294768.487","571375328551.058","611375827456.184","641468033175.446","674373438077.728","715150723694.119","755853893343.008","778022057597.448","779533882699.891","797434700175.353","820597501289.754","847526908088.33","815908816333.134","836711968622.05","874136377084.3","906150988401.304","947704115241.123",
"Angola","AGO","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","25920531977.1505","24780028254.2752","24780028254.2752","25820789794.9468","27370037741.6871","28327988923.0825","29149501095.4582","30339601953.5736","32199082928.6633","32212484657.6765","31101122148.0954","31409446015.5508","29575674380.4416","22482416932.4765","22783538204.5071","26201068941.7593","29749838599.0205","31913924371.2602","33411053301.7568","34139911994.3453","35182758019.6959","36662544314.034","41672733511.8008","43125991915.3832","48050921277.9001","54852422288.0144","61347946235.7733","69324828859.446","76802645840.5628","78335311067.8479","82482120582.925","85446420441.9715","92712034533.3955","97239220009.2494","101766409287.849","102543067840.732","100799291837.039","100648701499.631","100050434318.105","99845650843.2744","95809443080.1137","97824078558.145","101948344238.666","103236265970.233","107803341999.578",
"Albania","ALB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","4872357833.48621","5152305744.73323","5304226467.10994","5362834894.84554","5295713833.27528","5390011641.7466","5693859705.34246","5649001049.87206","5568782994.815","6116559061.23727","5530859374.75169","3982100297.96084","3695902333.01319","4049208851.98817","4385409261.20229","4969648100.72759","5334237832.94103","4709514660.14116","5100876515.377","5725771032.93267","6153077235.62289","6698469429.12028","7008501111.79519","7382282996.75923","7771053341.65332","8169772250.74253","8661509309.89701","9224515436.60112","9861658465.33864","10127011190.7491","10428102872.2706","10685000942.5337","10790155229.5092","10974367815.094","11220218560.8998","11470171826.9575","11918533446.9749","12309839868.7084","12761785703.1071","13025007474.8895","12593390460.142","13722964212.462","14385344334.623","14962975920.9066","15568367220.7999",
"Andorra","AND","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","859122124.233533","899066709.761762","972338340.748414","1048068593.93132","1106957363.3751","1112959348.96081","1149729155.8401","1182365086.76823","1199663089.99549","1200161636.66536","1226669938.1168","1225044913.34139","1240314622.11134","1262269657.85316","1284797216.20525","1314622923.20581","1357391837.7286","1432688021.17266","1505673822.3205","1578353213.75511","1638036865.6592","1679741342.09472","1695349734.48327","1677862466.61618","1717848987.06999","1765218700.60186","1847296757.09051","2014803568.84039","2079172380.13746","2164399296.91914","2240767147.05822","2422703047.4382","2532847903.3358","2753058859.8714","2977038818.11546","3137733299.91171","3288617126.51463","3339695537.72761","3154035638.64466","2986781968.80057","2927794279.37554","2927558013.5968","2781928287.88297","2683236696.87851","2750437434.80254","2789882569.1005","2893378230.93931","2903391399.65727","2949519480.26811","3008968450.49925","2672447226.31612","2893907016.25363","3170698001.42141","3252614722.13544","3362287046.47556",
"Arab World","ARB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","257268622794.307","274727895869.812","304345358448.676","327033636988.349","402059768533.765","432140283736.376","492393201295.236","557855472353.426","616535006900.811","616253777881.209","704488389329.834","751009045428.753","773082586801.585","855372375013.759","909103268288.871","916823420263.289","861922368678.532","829479487607.338","839748879620.099","832671869222.073","826131619922.564","828207880418.721","855367469589.157","887971908905.424","957650026835.882","950989486109.571","1013401554158.87","1046425500710.75","1081536827296.3","1111789296123.96","1165365474019.11","1228836829836.2","1287394528620.77","1323131553963.34","1406974817817.34","1436484812508.49","1454020678602.03","1516478597545.85","1654092841328.02","1746274695968.55","1855876088278.49","1941268003780.27","2049419151996.29","2062704453301.67","2162552600448.41","2245880154831.72","2369263290821.59","2431985286196.13","2496670071114.98","2580328583417.41","2672520324881.52","2708038387311.84","2780412155095.67","2829007673867.42","2679041188655.38","2797765814668.18","2993826509954.67","3042774083146.39","3094608683761.03",
"United Arab Emirates","ARE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","13966072152.6471","19079383260.4401","26535537092.7728","46867106753.0925","53661919231.1633","57003662334.5291","66424575811.7841","80665559934.3018","79383297515.6035","95993119782.0932","118911261059.781","124451546797.818","116089253870.502","110579866030.011","115021805373.387","110887373589.367","94300688814.9471","97489920862.2337","94936749814.3527","106649942793.229","126196728879.997","127282124163.704","131539641031.7","133198607074.354","142384180889.311","151906673243.8","160714835966.554","173878021720.573","174385735706.142","179446782313.38","198921610821.864","201704693314.365","206613089911.721","224796159215.545","246301141350.818","258259409529.61","283665213479.189","292698220662.137","302040668640.587","286204912265.895","290792347835.845","310381480913.923","324917470354.939","340898464870.844","356691886612.605","381973042886.317","403584822847.176","399301267917.2","405439194566.321","410593714983.921","374899053476.789","391967404019.489","421421732891.067","439547849791.115","457093751868.536",
"Argentina","ARG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","150797810295.884","158982878499.524","157628310158.567","149261089202.812","164381681831.918","181755894112.433","180556802912.311","186320169964.576","195305461613.156","214210104570.482","220734180309.322","233223609573.669","237021461356.448","243685921868.226","257171024124.452","257097956426.363","251909073021.038","269376820356.431","257238364643.474","283535234199.299","287841521828.634","272903153784.458","270895516738.16","282677015450.457","287117132733.287","272218554792.861","288969188904.054","296785426416.393","293550663101.649","272541389928.67","265817211205.311","290094591011.844","313120244489.89","338817957426.035","358592053441.545","348389357874.283","367643757074.802","397463514160.866","412766570325.764","398792535409.293","395646066535.875","378202665751.853","336999433710.193","366780211148.674","399898899166.738","435296589745.339","470325565798.353","512690850741.56","533491913656.279","501917060966.235","552738161802.463","585924294024.785","579910247223.428","593858966307.156","578937574935.696","594749285413.212","582376550428.09","598790850843.677","583118120294.002","571450737224.442","514874343768.066","568636554720.066","602872713790.916","591684674129.454","583738758865.705",
